source_id,ll,bb,X_8.125,Y_8.125,X_8.50,Y_8.50,Vlsr
2428589330539122304,  87.07, -70.04,   0.20,   8.11,   0.20,   8.49, -45.46
431678852171577216, 118.34,   1.46,   2.36,   9.40,   2.36,   9.77, -48.14
429999760479435520, 118.15,   0.19,   3.53,  10.01,   3.53,  10.39, -65.61
428817510598195584, 118.93,  -1.71,   2.47,   9.49,   2.47,   9.86, -45.48
430464235421496320, 119.32,  -0.78,   0.98,   8.67,   0.98,   9.05, -25.87
428379733171150336, 119.18,  -2.70,   2.09,   9.29,   2.09,   9.67, -50.68
430988771185051136, 120.39,   0.70,   2.48,   9.58,   2.48,   9.96, -50.96
430822195172188416, 121.16,   0.31,   2.35,   9.55,   2.35,   9.92, -40.20
430834667758290432, 121.47,   0.40,   2.26,   9.51,   2.26,   9.89, -41.98
427687173982602496, 121.61,  -0.51,   2.38,   9.59,   2.38,   9.96, -58.40
527063203864315776, 121.74,   1.45,   2.48,   9.66,   2.48,  10.04, -55.34
427723599604450432, 122.05,  -0.58,   2.78,   9.86,   2.78,  10.24, -47.93
524444235887123072, 122.69,   2.07,   2.58,   9.78,   2.58,  10.16, -22.62
524417469650213888, 122.73,   1.91,   1.89,   9.34,   1.89,   9.71, -38.63
523671588453985664, 122.82,   0.18,   2.53,   9.76,   2.53,  10.13, -62.56
427499264872921472, 122.91,  -1.07,   0.82,   8.65,   0.82,   9.03, -18.29
523685985183548672, 123.68,  -0.04,   2.54,   9.82,   2.54,  10.20, -41.85
426066532504937216, 123.79,  -3.29,   2.57,   9.85,   2.57,  10.22, -71.79
426615498045502464, 124.33,  -1.87,   2.11,   9.56,   2.11,   9.94, -41.67
522857297010694016, 124.53,  -0.34,   2.01,   9.51,   2.01,   9.88, -47.49
522854754390154880, 124.55,  -0.47,   2.24,   9.67,   2.24,  10.04, -52.75
413588346840518912, 124.96,  -5.25,   1.68,   9.30,   1.68,   9.67, -26.94
523311532752195328, 124.77,   0.61,   2.42,   9.81,   2.42,  10.18, -43.06
523314350250639744, 124.81,   0.78,   2.25,   9.69,   2.25,  10.07, -49.31
525059275199757824, 124.80,   2.31,   1.70,   9.30,   1.70,   9.68, -42.04
523056686572432768, 125.11,  -0.28,   1.95,   9.50,   1.95,   9.87, -37.56
534889699426804224, 124.89,   8.97,   0.61,   8.55,   0.61,   8.92, -17.51
523177942087543936, 125.75,   0.74,   2.59,   9.99,   2.59,  10.36, -40.95
510371517846253184, 126.13,  -2.33,   2.57,  10.00,   2.57,  10.38, -71.81
413876521969066496, 126.67,  -4.36,   2.30,   9.84,   2.30,  10.22, -28.77
510501741253205120, 126.72,  -1.46,   2.10,   9.69,   2.10,  10.07, -35.73
510939209439852544, 126.63,  -0.65,   2.06,   9.65,   2.06,  10.03, -51.43
510294822605527680, 127.03,  -1.73,   1.77,   9.46,   1.77,   9.83, -47.10
512625619760021248, 126.77,   0.88,   2.73,  10.17,   2.73,  10.54, -59.03
512570987775524224, 126.94,   0.28,   1.58,   9.31,   1.58,   9.69, -36.78
510809638869881088, 127.40,  -0.78,   2.18,   9.80,   2.18,  10.17, -48.71
512307311144571008, 127.62,  -0.17,   2.11,   9.75,   2.11,  10.13, -40.76
409200230286490880, 128.99,  -7.43,   0.91,   8.86,   0.91,   9.24, -29.22
509862169090128000, 128.07,  -1.81,   2.09,   9.76,   2.09,  10.14, -42.72
509997443377605120, 127.93,  -0.90,   2.12,   9.78,   2.12,  10.15, -43.35
513277320916092672, 127.39,   2.69,   1.31,   9.13,   1.31,   9.50, -30.68
512346653046032000, 127.88,   0.32,   2.09,   9.75,   2.09,  10.12, -38.36
511676840000117120, 128.21,   0.40,   2.11,   9.79,   2.11,  10.16, -33.53
509922332986765696, 128.55,  -1.32,   1.94,   9.67,   1.94,  10.05, -42.20
